97300 100.00 705 50000 M0_2_50000_blastdb_BL60006.dna.00000001.out 3471549 3422254 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
56 90.00 22392 22442 M0_2_50000_blastdb_BL60006.dna.00000001.out 3877495 3877444 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
56 85.00 40781 40848 M0_2_50000_blastdb_BL60006.dna.00000001.out 3729835 3729768 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
56 92.00 22403 22442 M0_2_50000_blastdb_BL60006.dna.00000001.out 655171 655210 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
54 94.00 10526 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 4094198 4094164 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
54 97.00 8237 8267 M0_2_50000_blastdb_BL60006.dna.00000001.out 2512797 2512827 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 97.00 8237 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 4782465 4782436 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 97.00 10528 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 4751881 4751848 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 94.00 40798 40831 M0_2_50000_blastdb_BL60006.dna.00000001.out 4223235 4223268 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 92.00 40796 40833 M0_2_50000_blastdb_BL60006.dna.00000001.out 3309377 3309340 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 97.00 8237 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 3300548 3300519 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 94.00 22409 22442 M0_2_50000_blastdb_BL60006.dna.00000001.out 2644709 2644742 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 95.00 10528 10563 M0_2_50000_blastdb_BL60006.dna.00000001.out 4778826 4778862 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 97.00 10528 10559 M0_2_50000_blastdb_BL60006.dna.00000001.out 4664419 4664451 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 100.00 22413 22437 M0_2_50000_blastdb_BL60006.dna.00000001.out 4573181 4573157 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 94.00 40770 40802 M0_2_50000_blastdb_BL60006.dna.00000001.out 3877506 3877474 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 100.00 8242 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 3479084 3479060 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 97.00 10533 10561 M0_2_50000_blastdb_BL60006.dna.00000001.out 2840596 2840624 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 89.00 22437 22481 M0_2_50000_blastdb_BL60006.dna.00000001.out 2834425 2834381 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
48 94.00 10529 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 4793158 4793189 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
48 92.00 8237 8272 M0_2_50000_blastdb_BL60006.dna.00000001.out 4637185 4637150 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
48 94.00 10529 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 4214709 4214678 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
48 94.00 10527 10558 M0_2_50000_blastdb_BL60006.dna.00000001.out 3983380 3983411 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
48 94.00 8201 8232 M0_2_50000_blastdb_BL60006.dna.00000001.out 3790893 3790924 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
48 94.00 10529 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 3362578 3362547 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
48 90.00 22403 22442 M0_2_50000_blastdb_BL60006.dna.00000001.out 787273 787234 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 91.00 10528 10562 M0_2_50000_blastdb_BL60006.dna.00000001.out 4745074 4745108 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 8237 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 4267709 4267680 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 8237 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 3794511 3794482 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 8237 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 3732746 3732775 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 94.00 10528 10561 M0_2_50000_blastdb_BL60006.dna.00000001.out 3690307 3690275 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 8237 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 1954654 1954625 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 94.00 10528 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 1676184 1676151 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 96.00 8377 8402 M0_2_50000_blastdb_BL60006.dna.00000001.out 1076106 1076131 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 10525 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 4305079 4305099 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 10525 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 4077039 4077059 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 96.00 8242 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 4054870 4054894 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 10528 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 4032921 4032889 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 10528 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 3655220 3655252 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 35787 35807 M0_2_50000_blastdb_BL60006.dna.00000001.out 3601758 3601778 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 48495 48527 M0_2_50000_blastdb_BL60006.dna.00000001.out 3558161 3558129 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 36224 36244 M0_2_50000_blastdb_BL60006.dna.00000001.out 3137217 3137197 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 90.00 10527 10562 M0_2_50000_blastdb_BL60006.dna.00000001.out 2964856 2964818 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 28394 28414 M0_2_50000_blastdb_BL60006.dna.00000001.out 2577933 2577953 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 13298 13318 M0_2_50000_blastdb_BL60006.dna.00000001.out 2418508 2418528 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 86.00 40821 40869 M0_2_50000_blastdb_BL60006.dna.00000001.out 1965838 1965790 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 89.00 8232 8268 M0_2_50000_blastdb_BL60006.dna.00000001.out 871187 871151 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 90.00 10528 10563 M0_2_50000_blastdb_BL60006.dna.00000001.out 780576 780614 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 96.00 10532 10556 M0_2_50000_blastdb_BL60006.dna.00000001.out 410448 410472 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 96.00 10522 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 4642490 4642513 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 96.00 22408 22431 M0_2_50000_blastdb_BL60006.dna.00000001.out 4553295 4553318 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 93.00 8204 8231 M0_2_50000_blastdb_BL60006.dna.00000001.out 4369469 4369496 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 91.00 10529 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 4206291 4206260 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 10526 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 4110122 4110141 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 18004 18023 M0_2_50000_blastdb_BL60006.dna.00000001.out 3997377 3997396 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 40002 40021 M0_2_50000_blastdb_BL60006.dna.00000001.out 3637850 3637869 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 93.00 22411 22438 M0_2_50000_blastdb_BL60006.dna.00000001.out 3569934 3569907 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 88.00 10528 10566 M0_2_50000_blastdb_BL60006.dna.00000001.out 3393427 3393386 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 91.00 10529 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 3300557 3300588 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 40770 40789 M0_2_50000_blastdb_BL60006.dna.00000001.out 3137198 3137179 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 89.00 40798 40833 M0_2_50000_blastdb_BL60006.dna.00000001.out 3137170 3137135 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 96.00 36223 36246 M0_2_50000_blastdb_BL60006.dna.00000001.out 2941505 2941482 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 10526 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 2478536 2478555 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 10526 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 2341394 2341413 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 40770 40789 M0_2_50000_blastdb_BL60006.dna.00000001.out 2311740 2311759 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 40770 40789 M0_2_50000_blastdb_BL60006.dna.00000001.out 1534260 1534241 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 89.00 40798 40833 M0_2_50000_blastdb_BL60006.dna.00000001.out 1534232 1534197 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 40770 40789 M0_2_50000_blastdb_BL60006.dna.00000001.out 787296 787277 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 92.00 22389 22423 M0_2_50000_blastdb_BL60006.dna.00000001.out 776394 776429 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 91.00 10528 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 706898 706864 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 40770 40789 M0_2_50000_blastdb_BL60006.dna.00000001.out 640328 640309 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 93.00 8204 8231 M0_2_50000_blastdb_BL60006.dna.00000001.out 85271 85244 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 10535 10557 M0_2_50000_blastdb_BL60006.dna.00000001.out 4639771 4639749 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 8584 8602 M0_2_50000_blastdb_BL60006.dna.00000001.out 4591700 4591682 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 89.00 8198 8232 M0_2_50000_blastdb_BL60006.dna.00000001.out 4366784 4366750 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 48685 48707 M0_2_50000_blastdb_BL60006.dna.00000001.out 4259077 4259055 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 20702 20720 M0_2_50000_blastdb_BL60006.dna.00000001.out 4175593 4175611 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 84.00 40794 40848 M0_2_50000_blastdb_BL60006.dna.00000001.out 4009428 4009374 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 20123 20141 M0_2_50000_blastdb_BL60006.dna.00000001.out 4003846 4003864 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 84.00 40794 40848 M0_2_50000_blastdb_BL60006.dna.00000001.out 3946344 3946290 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 48685 48707 M0_2_50000_blastdb_BL60006.dna.00000001.out 3747484 3747506 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 10529 10559 M0_2_50000_blastdb_BL60006.dna.00000001.out 3685439 3685469 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 40236 40258 M0_2_50000_blastdb_BL60006.dna.00000001.out 3638084 3638106 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 48685 48707 M0_2_50000_blastdb_BL60006.dna.00000001.out 3598483 3598505 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 33184 33202 M0_2_50000_blastdb_BL60006.dna.00000001.out 3569956 3569974 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 48685 48707 M0_2_50000_blastdb_BL60006.dna.00000001.out 3556267 3556289 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 48685 48707 M0_2_50000_blastdb_BL60006.dna.00000001.out 3421856 3421878 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 10525 10543 M0_2_50000_blastdb_BL60006.dna.00000001.out 3299360 3299342 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 89.00 40092 40126 M0_2_50000_blastdb_BL60006.dna.00000001.out 3213222 3213256 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 93.00 10531 10557 M0_2_50000_blastdb_BL60006.dna.00000001.out 3184179 3184153 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 45842 45864 M0_2_50000_blastdb_BL60006.dna.00000001.out 2920227 2920205 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 48685 48707 M0_2_50000_blastdb_BL60006.dna.00000001.out 2715955 2715977 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 93.00 8245 8271 M0_2_50000_blastdb_BL60006.dna.00000001.out 2640319 2640293 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 10520 10542 M0_2_50000_blastdb_BL60006.dna.00000001.out 2531485 2531507 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 33180 33202 M0_2_50000_blastdb_BL60006.dna.00000001.out 2311753 2311731 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 27105 27123 M0_2_50000_blastdb_BL60006.dna.00000001.out 2027647 2027629 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 84.00 40794 40848 M0_2_50000_blastdb_BL60006.dna.00000001.out 1764757 1764703 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 8237 8267 M0_2_50000_blastdb_BL60006.dna.00000001.out 1102345 1102315 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 35913 35931 M0_2_50000_blastdb_BL60006.dna.00000001.out 1101394 1101412 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 15828 15846 M0_2_50000_blastdb_BL60006.dna.00000001.out 852031 852013 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 8236 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 365243 365273 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 48685 48707 M0_2_50000_blastdb_BL60006.dna.00000001.out 289064 289042 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 93.00 22453 22479 M0_2_50000_blastdb_BL60006.dna.00000001.out 251953 251927 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 34750 34768 M0_2_50000_blastdb_BL60006.dna.00000001.out 232084 232066 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 24887 24905 M0_2_50000_blastdb_BL60006.dna.00000001.out 135881 135899 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 25286 25303 M0_2_50000_blastdb_BL60006.dna.00000001.out 4684275 4684258 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 88.00 22365 22398 M0_2_50000_blastdb_BL60006.dna.00000001.out 4678095 4678128 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 8204 8225 M0_2_50000_blastdb_BL60006.dna.00000001.out 4390435 4390414 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10528 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 4369509 4369526 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10528 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 4366737 4366720 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10527 10544 M0_2_50000_blastdb_BL60006.dna.00000001.out 4294399 4294416 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10528 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 4286975 4286992 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10528 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 4137320 4137337 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10526 10543 M0_2_50000_blastdb_BL60006.dna.00000001.out 4119379 4119396 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 8245 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 4032938 4032959 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10525 10542 M0_2_50000_blastdb_BL60006.dna.00000001.out 3904594 3904577 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10527 10544 M0_2_50000_blastdb_BL60006.dna.00000001.out 3857585 3857568 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 34390 34411 M0_2_50000_blastdb_BL60006.dna.00000001.out 3821092 3821113 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 25332 25349 M0_2_50000_blastdb_BL60006.dna.00000001.out 3631097 3631114 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 18000 18017 M0_2_50000_blastdb_BL60006.dna.00000001.out 3541356 3541373 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 22622 22639 M0_2_50000_blastdb_BL60006.dna.00000001.out 3508732 3508715 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 18866 18883 M0_2_50000_blastdb_BL60006.dna.00000001.out 3338364 3338347 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 23701 23718 M0_2_50000_blastdb_BL60006.dna.00000001.out 3322506 3322489 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 8245 8262 M0_2_50000_blastdb_BL60006.dna.00000001.out 3309280 3309263 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 8204 8225 M0_2_50000_blastdb_BL60006.dna.00000001.out 3243597 3243618 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 90.00 8237 8266 M0_2_50000_blastdb_BL60006.dna.00000001.out 3104573 3104602 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10528 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 3103410 3103393 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10528 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 3080982 3080965 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10528 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 2979993 2979976 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 10528 10545 M0_2_50000_blastdb_BL60006.dna.00000001.out 2979046 2979063 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 18000 18017 M0_2_50000_blastdb_BL60006.dna.00000001.out 2768529 2768512 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 12860 12877 M0_2_50000_blastdb_BL60006.dna.00000001.out 2708380 2708397 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
