26870 98.00 1 14409 2_50000_blastdb_BX571856.fas.00000001.out 1 14412 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
40 100.00 4847 4866 2_50000_blastdb_BX571856.fas.00000001.out 2611778 2611797 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
40 100.00 23876 23895 2_50000_blastdb_BX571856.fas.00000001.out 2199887 2199868 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
40 100.00 7410 7429 2_50000_blastdb_BX571856.fas.00000001.out 1387262 1387281 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
40 100.00 31935 31954 2_50000_blastdb_BX571856.fas.00000001.out 975501 975482 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
40 96.00 35843 35866 2_50000_blastdb_BX571856.fas.00000001.out 398524 398547 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 26776 26794 2_50000_blastdb_BX571856.fas.00000001.out 2796981 2796999 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 93.00 46985 47011 2_50000_blastdb_BX571856.fas.00000001.out 2403935 2403909 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 46112 46130 2_50000_blastdb_BX571856.fas.00000001.out 2288675 2288693 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 13433 13451 2_50000_blastdb_BX571856.fas.00000001.out 2239584 2239566 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 9037 9055 2_50000_blastdb_BX571856.fas.00000001.out 2081680 2081698 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 49597 49615 2_50000_blastdb_BX571856.fas.00000001.out 1050257 1050239 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 17464 17482 2_50000_blastdb_BX571856.fas.00000001.out 1022450 1022432 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 90.00 1187 1217 2_50000_blastdb_BX571856.fas.00000001.out 1000512 1000542 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 96.00 29731 29753 2_50000_blastdb_BX571856.fas.00000001.out 995466 995444 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 14012 14030 2_50000_blastdb_BX571856.fas.00000001.out 843685 843667 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 20667 20685 2_50000_blastdb_BX571856.fas.00000001.out 827782 827800 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 25183 25201 2_50000_blastdb_BX571856.fas.00000001.out 750805 750787 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 34703 34721 2_50000_blastdb_BX571856.fas.00000001.out 698097 698079 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 16847 16865 2_50000_blastdb_BX571856.fas.00000001.out 688317 688299 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 30883 30901 2_50000_blastdb_BX571856.fas.00000001.out 660455 660473 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 44410 44428 2_50000_blastdb_BX571856.fas.00000001.out 524447 524429 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 22354 22371 2_50000_blastdb_BX571856.fas.00000001.out 2464367 2464350 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 38676 38693 2_50000_blastdb_BX571856.fas.00000001.out 2439074 2439091 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 42872 42889 2_50000_blastdb_BX571856.fas.00000001.out 2350816 2350833 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 43422 43439 2_50000_blastdb_BX571856.fas.00000001.out 2350815 2350832 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 43806 43827 2_50000_blastdb_BX571856.fas.00000001.out 2228991 2228970 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 48661 48678 2_50000_blastdb_BX571856.fas.00000001.out 2214724 2214741 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 32893 32910 2_50000_blastdb_BX571856.fas.00000001.out 2173897 2173880 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 38981 39002 2_50000_blastdb_BX571856.fas.00000001.out 2024297 2024318 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 40756 40773 2_50000_blastdb_BX571856.fas.00000001.out 1895561 1895544 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 35198 35215 2_50000_blastdb_BX571856.fas.00000001.out 1894330 1894313 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 35065 35082 2_50000_blastdb_BX571856.fas.00000001.out 1818258 1818241 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 5088 5109 2_50000_blastdb_BX571856.fas.00000001.out 1786293 1786272 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 43910 43927 2_50000_blastdb_BX571856.fas.00000001.out 1565248 1565231 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 33372 33393 2_50000_blastdb_BX571856.fas.00000001.out 1557080 1557101 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 43816 43833 2_50000_blastdb_BX571856.fas.00000001.out 1556378 1556361 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 7160 7177 2_50000_blastdb_BX571856.fas.00000001.out 1462727 1462710 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 18370 18391 2_50000_blastdb_BX571856.fas.00000001.out 1453880 1453901 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 1397 1414 2_50000_blastdb_BX571856.fas.00000001.out 1423232 1423249 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 37645 37662 2_50000_blastdb_BX571856.fas.00000001.out 1417715 1417698 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 92.00 6801 6826 2_50000_blastdb_BX571856.fas.00000001.out 1386636 1386661 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 9878 9895 2_50000_blastdb_BX571856.fas.00000001.out 1295897 1295880 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 20304 20321 2_50000_blastdb_BX571856.fas.00000001.out 1252012 1252029 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 7630 7651 2_50000_blastdb_BX571856.fas.00000001.out 1231112 1231133 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 22391 22408 2_50000_blastdb_BX571856.fas.00000001.out 1129831 1129814 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 42868 42889 2_50000_blastdb_BX571856.fas.00000001.out 1096869 1096848 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 27978 27995 2_50000_blastdb_BX571856.fas.00000001.out 1046614 1046597 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 39500 39517 2_50000_blastdb_BX571856.fas.00000001.out 984870 984887 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 35993 36010 2_50000_blastdb_BX571856.fas.00000001.out 927666 927683 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 45140 45157 2_50000_blastdb_BX571856.fas.00000001.out 863641 863624 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 23212 23229 2_50000_blastdb_BX571856.fas.00000001.out 828531 828548 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 43422 43439 2_50000_blastdb_BX571856.fas.00000001.out 817894 817877 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 42872 42889 2_50000_blastdb_BX571856.fas.00000001.out 817893 817876 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 1398 1415 2_50000_blastdb_BX571856.fas.00000001.out 628163 628180 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 18732 18749 2_50000_blastdb_BX571856.fas.00000001.out 482782 482765 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 11253 11270 2_50000_blastdb_BX571856.fas.00000001.out 427503 427486 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 24369 24390 2_50000_blastdb_BX571856.fas.00000001.out 375514 375493 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 10662 10679 2_50000_blastdb_BX571856.fas.00000001.out 337989 337972 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 5482 5499 2_50000_blastdb_BX571856.fas.00000001.out 254186 254169 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 46910 46927 2_50000_blastdb_BX571856.fas.00000001.out 223658 223675 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 32694 32715 2_50000_blastdb_BX571856.fas.00000001.out 83988 84009 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 1794 1815 2_50000_blastdb_BX571856.fas.00000001.out 77131 77152 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 34038 34054 2_50000_blastdb_BX571856.fas.00000001.out 2765792 2765808 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 48399 48419 2_50000_blastdb_BX571856.fas.00000001.out 2765648 2765628 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 27204 27224 2_50000_blastdb_BX571856.fas.00000001.out 2694688 2694668 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 49919 49935 2_50000_blastdb_BX571856.fas.00000001.out 2649271 2649255 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 14966 14982 2_50000_blastdb_BX571856.fas.00000001.out 2537163 2537179 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 19315 19331 2_50000_blastdb_BX571856.fas.00000001.out 2494327 2494343 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 3476 3496 2_50000_blastdb_BX571856.fas.00000001.out 2492206 2492186 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 8505 8525 2_50000_blastdb_BX571856.fas.00000001.out 2477086 2477066 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 16845 16861 2_50000_blastdb_BX571856.fas.00000001.out 2411469 2411485 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 18390 18406 2_50000_blastdb_BX571856.fas.00000001.out 2408837 2408821 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 12541 12557 2_50000_blastdb_BX571856.fas.00000001.out 2381348 2381332 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 251 267 2_50000_blastdb_BX571856.fas.00000001.out 2358354 2358338 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 17821 17837 2_50000_blastdb_BX571856.fas.00000001.out 2344586 2344570 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 23473 23489 2_50000_blastdb_BX571856.fas.00000001.out 2329904 2329888 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 524 540 2_50000_blastdb_BX571856.fas.00000001.out 2318905 2318889 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 17559 17575 2_50000_blastdb_BX571856.fas.00000001.out 2302412 2302396 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 18358 18374 2_50000_blastdb_BX571856.fas.00000001.out 2300807 2300791 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 2785 2805 2_50000_blastdb_BX571856.fas.00000001.out 2288360 2288340 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 46927 46943 2_50000_blastdb_BX571856.fas.00000001.out 2286569 2286585 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 31585 31601 2_50000_blastdb_BX571856.fas.00000001.out 2247147 2247131 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 14474 14490 2_50000_blastdb_BX571856.fas.00000001.out 2240006 2240022 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 48419 48435 2_50000_blastdb_BX571856.fas.00000001.out 2191703 2191687 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 3493 3513 2_50000_blastdb_BX571856.fas.00000001.out 2141436 2141416 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 92.00 38693 38717 2_50000_blastdb_BX571856.fas.00000001.out 2134687 2134711 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 21788 21804 2_50000_blastdb_BX571856.fas.00000001.out 2126846 2126830 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 48070 48086 2_50000_blastdb_BX571856.fas.00000001.out 2077774 2077758 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 32467 32483 2_50000_blastdb_BX571856.fas.00000001.out 2066333 2066349 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 21163 21179 2_50000_blastdb_BX571856.fas.00000001.out 2055516 2055532 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 10667 10683 2_50000_blastdb_BX571856.fas.00000001.out 1978610 1978626 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 41965 41981 2_50000_blastdb_BX571856.fas.00000001.out 1825338 1825354 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 36619 36635 2_50000_blastdb_BX571856.fas.00000001.out 1825338 1825354 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 35940 35960 2_50000_blastdb_BX571856.fas.00000001.out 1805927 1805947 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 47183 47203 2_50000_blastdb_BX571856.fas.00000001.out 1801096 1801076 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 40635 40651 2_50000_blastdb_BX571856.fas.00000001.out 1749958 1749974 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 6847 6863 2_50000_blastdb_BX571856.fas.00000001.out 1742642 1742626 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 1802 1818 2_50000_blastdb_BX571856.fas.00000001.out 1716082 1716098 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 46572 46588 2_50000_blastdb_BX571856.fas.00000001.out 1678125 1678141 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 20449 20465 2_50000_blastdb_BX571856.fas.00000001.out 1645510 1645494 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 10922 10938 2_50000_blastdb_BX571856.fas.00000001.out 1642338 1642322 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 14522 14538 2_50000_blastdb_BX571856.fas.00000001.out 1628538 1628522 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 20160 20176 2_50000_blastdb_BX571856.fas.00000001.out 1613702 1613686 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 42214 42230 2_50000_blastdb_BX571856.fas.00000001.out 1582562 1582578 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 36868 36884 2_50000_blastdb_BX571856.fas.00000001.out 1582562 1582578 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 32281 32301 2_50000_blastdb_BX571856.fas.00000001.out 1562104 1562084 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 19193 19209 2_50000_blastdb_BX571856.fas.00000001.out 1549336 1549320 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 30741 30757 2_50000_blastdb_BX571856.fas.00000001.out 1534651 1534667 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 1405 1425 2_50000_blastdb_BX571856.fas.00000001.out 1521747 1521727 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 44816 44836 2_50000_blastdb_BX571856.fas.00000001.out 1519225 1519205 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 38173 38189 2_50000_blastdb_BX571856.fas.00000001.out 1453263 1453279 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 12746 12762 2_50000_blastdb_BX571856.fas.00000001.out 1398951 1398935 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 92.00 7357 7381 2_50000_blastdb_BX571856.fas.00000001.out 1387209 1387233 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 21554 21570 2_50000_blastdb_BX571856.fas.00000001.out 1367883 1367867 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 24606 24626 2_50000_blastdb_BX571856.fas.00000001.out 1366517 1366537 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 34305 34321 2_50000_blastdb_BX571856.fas.00000001.out 1366097 1366081 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 21774 21790 2_50000_blastdb_BX571856.fas.00000001.out 1328979 1328995 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 8543 8559 2_50000_blastdb_BX571856.fas.00000001.out 1312236 1312252 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 46519 46535 2_50000_blastdb_BX571856.fas.00000001.out 1213911 1213895 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 32688 32704 2_50000_blastdb_BX571856.fas.00000001.out 1170204 1170188 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 28100 28116 2_50000_blastdb_BX571856.fas.00000001.out 1170190 1170174 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 24949 24965 2_50000_blastdb_BX571856.fas.00000001.out 1165997 1166013 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 29541 29561 2_50000_blastdb_BX571856.fas.00000001.out 1143380 1143360 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 43434 43454 2_50000_blastdb_BX571856.fas.00000001.out 1129917 1129937 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 45482 45498 2_50000_blastdb_BX571856.fas.00000001.out 1109947 1109931 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 92.00 37824 37848 2_50000_blastdb_BX571856.fas.00000001.out 1079198 1079174 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 26151 26167 2_50000_blastdb_BX571856.fas.00000001.out 1054810 1054826 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 707 723 2_50000_blastdb_BX571856.fas.00000001.out 1049140 1049124 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 18275 18291 2_50000_blastdb_BX571856.fas.00000001.out 1045827 1045843 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 46801 46817 2_50000_blastdb_BX571856.fas.00000001.out 1041021 1041005 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 22329 22349 2_50000_blastdb_BX571856.fas.00000001.out 1010521 1010541 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 33199 33215 2_50000_blastdb_BX571856.fas.00000001.out 949537 949553 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 38740 38756 2_50000_blastdb_BX571856.fas.00000001.out 945475 945459 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 92.00 26875 26899 2_50000_blastdb_BX571856.fas.00000001.out 932148 932172 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 12865 12881 2_50000_blastdb_BX571856.fas.00000001.out 909176 909160 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 20233 20249 2_50000_blastdb_BX571856.fas.00000001.out 902270 902254 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 92.00 24862 24886 2_50000_blastdb_BX571856.fas.00000001.out 870026 870002 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 7779 7795 2_50000_blastdb_BX571856.fas.00000001.out 868358 868374 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 49635 49651 2_50000_blastdb_BX571856.fas.00000001.out 865535 865519 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 14136 14152 2_50000_blastdb_BX571856.fas.00000001.out 851877 851861 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 47606 47622 2_50000_blastdb_BX571856.fas.00000001.out 810144 810160 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 14220 14236 2_50000_blastdb_BX571856.fas.00000001.out 800145 800161 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 45681 45697 2_50000_blastdb_BX571856.fas.00000001.out 780346 780362 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 9990 10006 2_50000_blastdb_BX571856.fas.00000001.out 761482 761466 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 48342 48358 2_50000_blastdb_BX571856.fas.00000001.out 746944 746928 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 8353 8369 2_50000_blastdb_BX571856.fas.00000001.out 730231 730247 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 16395 16411 2_50000_blastdb_BX571856.fas.00000001.out 642041 642057 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 6211 6231 2_50000_blastdb_BX571856.fas.00000001.out 628228 628248 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 30892 30908 2_50000_blastdb_BX571856.fas.00000001.out 576181 576165 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 48574 48590 2_50000_blastdb_BX571856.fas.00000001.out 558824 558840 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 29035 29051 2_50000_blastdb_BX571856.fas.00000001.out 529278 529294 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 39746 39762 2_50000_blastdb_BX571856.fas.00000001.out 496724 496740 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 523 543 2_50000_blastdb_BX571856.fas.00000001.out 450484 450504 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 48315 48331 2_50000_blastdb_BX571856.fas.00000001.out 448147 448131 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 39506 39526 2_50000_blastdb_BX571856.fas.00000001.out 447344 447324 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 3573 3589 2_50000_blastdb_BX571856.fas.00000001.out 445121 445137 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 44294 44310 2_50000_blastdb_BX571856.fas.00000001.out 421799 421815 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 34370 34386 2_50000_blastdb_BX571856.fas.00000001.out 419006 418990 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 30891 30907 2_50000_blastdb_BX571856.fas.00000001.out 409193 409209 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 46461 46481 2_50000_blastdb_BX571856.fas.00000001.out 391274 391254 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 9984 10000 2_50000_blastdb_BX571856.fas.00000001.out 363107 363091 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 24838 24854 2_50000_blastdb_BX571856.fas.00000001.out 359734 359718 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 19447 19463 2_50000_blastdb_BX571856.fas.00000001.out 272856 272872 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 25832 25852 2_50000_blastdb_BX571856.fas.00000001.out 262261 262281 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 43254 43270 2_50000_blastdb_BX571856.fas.00000001.out 247251 247235 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 17075 17091 2_50000_blastdb_BX571856.fas.00000001.out 220694 220710 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 18577 18593 2_50000_blastdb_BX571856.fas.00000001.out 215012 215028 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 34459 34475 2_50000_blastdb_BX571856.fas.00000001.out 187265 187281 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 20487 20503 2_50000_blastdb_BX571856.fas.00000001.out 180594 180610 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 42209 42225 2_50000_blastdb_BX571856.fas.00000001.out 140146 140162 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 36863 36879 2_50000_blastdb_BX571856.fas.00000001.out 140146 140162 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 3284 3300 2_50000_blastdb_BX571856.fas.00000001.out 139446 139462 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
