Id,Sample_Name,Country_Of_Isolation,Longitude,Latitude,Year,Accession,Source,Serotype,Transmission_Event,Transmission_Event__color,Transmission_Event__shape,LAT,LAT__color,LAT__shape,Wave,Wave__color,Wave__shape,ampicillin__color,chloramphenicol__color,cefalotin__color,ciprofloxacin__color,colistin__color,cefotaxime__color,doxycycline__color,erythromycin__color,nitrofurantoin__color,nalidixic_acid__color,norfloxacin__color,vibriostatic_agent_O129__color,ofloxacin__color,polymyxin_B__color,pefloxacin__color,streptomycin__color,sulfonamides__color,trimethoprim_sulfamethoxazole__color,tetracycline__color,incA_C_plasmid,SXT_R391,GI_AMR,blaTEM,blaCARB,blaSHV,blaOXA,blaCTX_M,blaACT,blaCMY,strA_strB,aadA1,aadA2,aph_3___I,Other_aminoglycosides,aadA_New,catB9,catA1,catA2,floR,cmlA1,mphA,others,sul1,sul2,tet_A_,tet_B_,tet_C_,tet_D_,tet_G_,tet_New,dfrA1,dfrA12,dfrA15,dfrA18,dfrA23,dfrA30,dfrA31,dfrA_New,PMQR,gyrA,gyrB,parC,parE
CNRVC930060_CGATGT_L002,CNRVC930060,Philippines,121.774017,12.879721,1961,ERR1879564,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC940044_ACTTGA_L002,CNRVC940044,Philippines,121.774017,12.879721,1963,ERR1879573,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579059,2873_CDC,China,104.195397,35.861660,1961,ERR579059,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576971,GD196110-CDC,China,104.195397,35.861660,1961,ERR576971,No_Data,No_Data,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579056,2914_CDC,China,104.195397,35.861660,1966,ERR579056,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR577143,3289-CDC,China,104.195397,35.861660,1978,ERR577143,No_Data,No_Data,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579074,2308-CDC,China,104.195397,35.861660,1978,ERR579074,No_Data,No_Data,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579050,3075-CDC,China,104.195397,35.861660,1974,ERR579050,No_Data,No_Data,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC950218_GTGGCC_L002,CNRVC950218,Philippines,121.774017,12.879721,1973,ERR1879584,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC930067_GCCAAT_L002,CNRVC930067,Cambodia,104.990963,12.565679,1963,ERR1879567,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC961129_CAGGCG_L002,CNRVC961129,VietNam,108.277199,14.058324,1964,ERR1879634,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC950165_GTCCGC_L002,CNRVC950165,VietNam,108.277199,14.058324,1968,ERR1879582,Clinical,Inaba,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC950161_GTAGAG_L002,CNRVC950161,VietNam,108.277199,14.058324,1966,ERR1879581,Clinical,Inaba,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC950172_GTGAAA_L002,CNRVC950172,VietNam,108.277199,14.058324,1969,ERR1879583,Clinical,Inaba,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579063,2783-CDC,China,104.195397,35.861660,1964,ERR579063,No_Data,No_Data,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579054,2957-CDC,China,104.195397,35.861660,1964,ERR579054,No_Data,No_Data,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC961077exCNRVC961090_TCGAAG_L001,CNRVC961077,Thailand,100.992541,15.870032,1963,ERR1879633,Clinical,Inaba,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579052,3014_CDC,China,104.195397,35.861660,1969,ERR579052,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576983,6310_CDC,Indonesia,113.921327,-0.789275,1961,ERR576983,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC930036_TCGGCA_L001,CNRVC930036,India,78.962880,20.593684,1962,ERR1879562  ,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC930066_ACAGTG_L002,CNRVC930066,India,78.962880,20.593684,1964,ERR1879566,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC950100_CCGTCC_L002,CNRVC950100,Malaysia,101.975766,4.210484,1973,ERR1879580,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC930029_TCGAAG_L001,CNRVC930029,Myanmar,95.955974,21.916221,1971,ERR1879559,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC950641_GTCCGC_L001,CNRVC950641,Myanmar,95.955974,21.916221,1972,ERR1879587,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
960871_S20,CNRVC960871,Iran,53.688046,32.427908,1965,ERR1879606,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC960799_GTGAAA_L001,CNRVC960799,Iran,53.688046,32.427908,1965,ERR1879603,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC930076_CAGATC_L002,CNRVC930076,Iran,53.688046,32.427908,1965,ERR1879568,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC960842_AGTCAA_L001,CNRVC960842,Iran,53.688046,32.427908,1965,ERR1879605,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
960872_S21,CNRVC960872,Iran,53.688046,32.427908,1965,ERR1879607,Clinical,Inaba,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576979,642345_CDC,China,104.195397,35.861660,1964,ERR576979,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC961005_CACTCA_L002,CNRVC961005,Pakistan,69.345116,30.375321,1964,ERR1879630  ,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC960800_GGCTAC_L001,CNRVC960800,Iran,53.688046,32.427908,1965,ERR1879604  ,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC960768_TAGCTT_L001,CNRVC960768,Iraq,43.679291,33.223191,1966,ERR1879601,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
960778_S19,CNRVC960778,Iraq,43.679291,33.223191,1966,ERR1879602,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579051,3024_CDC,China,104.195397,35.861660,1973,ERR579051,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
THSTI_GP160bis,THSTI_GP160bis,India,78.962880,20.593684,1980,ERR1880816,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
